Ticker,Acurácia Dir %,MAPE %,Acertos,Erros,Dias Teste,Dias Treino,Classe
HON,52.0,389.36,130,120,250,805,🟡 Bom
IMVT,52.0,205.03,130,120,250,805,🟡 Bom
EBAY,52.0,421.09,130,120,250,805,🟡 Bom
BAM,52.0,281.4,130,120,250,425,🟡 Bom
TWLO,52.0,191.29,130,120,250,805,🟡 Bom
MKTX,52.0,235.9,130,120,250,805,🟡 Bom
ADC,52.0,156.61,130,120,250,805,🟡 Bom
KMI,52.0,199.4,130,120,250,805,🟡 Bom
PNC,52.0,251.39,130,120,250,805,🟡 Bom
HUBS,52.0,315.01,130,120,250,805,🟡 Bom
META,52.0,295.14,130,120,250,805,🟡 Bom
NDAQ,52.0,168.21,130,120,250,805,🟡 Bom
BAC,52.0,193.38,130,120,250,805,🟡 Bom
UDR,52.0,149.69,130,120,250,805,🟡 Bom
GOOG,52.0,822.63,130,120,250,805,🟡 Bom
CDW,52.0,302.72,130,120,250,805,🟡 Bom
SPOT,52.0,540.72,130,120,250,805,🟡 Bom
BAYN.DE,51.98,243.34,131,121,252,823,🔴 Fraco
NOVN.SW,51.82,199.93,128,119,247,810,🔴 Fraco
CASH3.SA,51.81,140.76,129,120,249,798,🔴 Fraco
BMGB4.SA,51.81,161.15,129,120,249,798,🔴 Fraco
MILS3.SA,51.81,280.98,129,120,249,798,🔴 Fraco
RCL,51.6,322.61,129,121,250,805,🔴 Fraco
TFC,51.6,252.31,129,121,250,805,🔴 Fraco
KO,51.6,246.54,129,121,250,805,🔴 Fraco
ITW,51.6,177.61,129,121,250,805,🔴 Fraco
LLY,51.6,199.46,129,121,250,805,🔴 Fraco
CROX,51.6,174.74,129,121,250,805,🔴 Fraco
BUD,51.6,225.05,129,121,250,805,🔴 Fraco
DIA,51.6,201.31,129,121,250,805,🔴 Fraco
CHD,51.6,409.69,129,121,250,805,🔴 Fraco
TPR,51.6,185.98,129,121,250,805,🔴 Fraco
PBF,51.6,205.78,129,121,250,805,🔴 Fraco
GS,51.6,199.08,129,121,250,805,🔴 Fraco
ARLP,51.6,165.71,129,121,250,805,🔴 Fraco
